LSOA code,LSOA name,Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile,Income Rank,Income Decile,Employment Rank,Employment Decile,"Education, Skills and Training Rank","Education, Skills and Training Decile",Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile
E01002428,Hillingdon 018F,21987,7,20466,7,25143,8,15436,5,24324,8,14110,5,10117,4,21066,7
E01002429,Hillingdon 019C,7970,3,7661,3,9935,4,10047,4,14361,5,11618,4,787,1,16698,6
E01002430,Hillingdon 007A,29334,9,31780,10,29600,10,30254,10,29252,9,16485,6,10013,4,21696,7
E01002431,Hillingdon 006C,30573,10,31231,10,30552,10,31577,10,31355,10,14904,5,18558,6,18766,6
E01002432,Hillingdon 006D,28738,9,26072,8,30194,10,29972,10,29038,9,11279,4,22021,7,17728,6
E01002433,Hillingdon 004A,17059,6,14819,5,14992,5,17941,6,28023,9,16793,6,4736,2,18730,6
E01002434,Hillingdon 007B,30000,10,30845,10,31524,10,29660,10,29197,9,12527,4,21928,7,16442,6
E01002435,Hillingdon 007C,31339,10,31189,10,29483,9,29905,10,28277,9,25739,8,21747,7,18383,6
E01002436,Hillingdon 004B,23393,8,20454,7,19584,6,26171,8,25655,8,15139,5,14612,5,19112,6
E01002437,Hillingdon 006E,29735,10,28358,9,30166,10,31182,10,30225,10,25370,8,9525,3,20110,7
E01002438,Hillingdon 003A,21531,7,21826,7,23777,8,18960,6,21744,7,28232,9,2571,1,26687,9
E01002439,Hillingdon 003B,16990,6,14613,5,16125,5,15612,5,11653,4,17905,6,13756,5,22770,7
E01002440,Hillingdon 003C,14167,5,14269,5,15601,5,9370,3,11875,4,14958,5,7221,3,25651,8
E01002441,Hillingdon 003D,11576,4,10413,4,12737,4,11870,4,11847,4,5963,2,9901,4,21589,7
E01002442,Hillingdon 003E,11533,4,11170,4,11283,4,7661,3,14677,5,20669,7,3984,2,22844,7
E01002443,Hillingdon 032A,14430,5,20740,7,28039,9,16658,6,27928,9,5082,2,544,1,8610,3
E01002444,Hillingdon 031A,12349,4,16999,6,19761,7,16418,5,16196,5,24651,8,103,1,8093,3
E01002445,Hillingdon 029A,7835,3,7362,3,10714,4,4892,2,12168,4,6656,3,5501,2,15841,5
E01002446,Hillingdon 031B,12848,4,18602,6,20436,7,12552,4,19035,6,1814,1,5475,2,9780,3
E01002447,Hillingdon 031C,11245,4,14294,5,21809,7,10129,4,25373,8,14954,5,869,1,2839,1
E01002448,Hillingdon 032B,15919,5,17107,6,24081,8,16077,5,23235,8,6946,3,8261,3,4643,2
E01002449,Hillingdon 032C,13247,5,11610,4,17448,6,17269,6,19904,7,14410,5,1703,1,13876,5
E01002450,Hillingdon 014A,27513,9,27034,9,29735,10,18810,6,27661,9,16667,6,18926,6,17557,6
E01002451,Hillingdon 014B,28166,9,26038,8,26504,9,22982,7,26893,9,19949,7,20235,7,19696,6
E01002452,Hillingdon 014C,25275,8,23028,8,24064,8,20777,7,27332,9,25914,8,18164,6,10993,4
E01002453,Hillingdon 014D,23046,8,19442,6,24629,8,20742,7,21971,7,22115,7,16994,6,11064,4
E01002454,Hillingdon 014E,14666,5,12201,4,11074,4,14460,5,17804,6,14978,5,13340,5,18184,6
E01002455,Hillingdon 019D,14192,5,14513,5,14662,5,14999,5,20901,7,4279,2,9826,3,16307,5
E01002456,Hillingdon 017C,15086,5,13545,5,17111,6,15041,5,13663,5,14780,5,11177,4,10308,4
E01002457,Hillingdon 019E,9683,3,8912,3,10869,4,11524,4,12671,4,4746,2,6951,3,16874,6
E01002458,Hillingdon 011A,28217,9,30043,10,26607,9,27842,9,30734,10,18072,6,9569,3,20290,7
E01002459,Hillingdon 011B,31719,10,32345,10,29836,10,28943,9,28554,9,26864,9,19355,6,22275,7
E01002460,Hillingdon 011C,28811,9,24286,8,28380,9,28886,9,27324,9,21425,7,20830,7,16244,5
E01002461,Hillingdon 013A,24176,8,26646,9,27187,9,28275,9,29044,9,22038,7,1916,1,21509,7
E01002462,Hillingdon 011D,28397,9,31674,10,31927,10,31481,10,31299,10,26464,9,2588,1,23031,8
E01002463,Hillingdon 013B,27916,9,27614,9,24733,8,29327,9,28904,9,27678,9,7163,3,23226,8
E01002464,Hillingdon 011E,29027,9,23985,8,27441,9,24247,8,24443,8,26036,8,23451,8,22265,7
E01002465,Hillingdon 009A,23956,8,20756,7,24261,8,22138,7,22538,7,20535,7,12522,4,18589,6
E01002466,Hillingdon 010B,27551,9,24860,8,29631,10,24173,8,29823,10,20757,7,14013,5,14760,5
E01002467,Hillingdon 009B,29710,10,27634,9,27590,9,24036,8,28147,9,23043,8,20629,7,21948,7
E01002468,Hillingdon 010C,28529,9,29047,9,29956,10,21562,7,27960,9,17606,6,19211,6,15935,5
E01002469,Hillingdon 010D,27093,9,28890,9,28550,9,21906,7,27897,9,17341,6,16438,6,12226,4
E01002470,Hillingdon 007D,23632,8,18284,6,25480,8,25167,8,26613,9,16005,5,16274,5,12593,4
E01002471,Hillingdon 008E,27928,9,26599,9,28558,9,23732,8,28415,9,14966,5,21599,7,15671,5
E01002472,Hillingdon 002A,26768,9,19412,6,27258,9,27539,9,25319,8,23566,8,13331,5,23658,8
E01002473,Hillingdon 001A,17981,6,19813,7,17509,6,30778,10,25246,8,14979,5,910,1,23832,8
E01002474,Hillingdon 002B,23911,8,18133,6,23789,8,27527,9,26918,9,17940,6,11820,4,18118,6
E01002475,Hillingdon 001B,16423,6,13980,5,9398,3,24604,8,14744,5,27893,9,8561,3,25433,8
E01002476,Hillingdon 001C,30955,10,27069,9,30670,10,32229,10,30712,10,22201,7,15724,5,24900,8
E01002477,Hillingdon 001D,24561,8,19055,6,20625,7,30032,10,20923,7,23777,8,12710,4,25664,8
E01002478,Hillingdon 002C,27666,9,22368,7,24726,8,28164,9,28007,9,21860,7,15374,5,23486,8
E01002479,Hillingdon 004C,14690,5,11607,4,12925,4,20329,7,15983,5,14932,5,5550,2,24044,8
E01002480,Hillingdon 004D,31432,10,29762,10,30831,10,30403,10,31364,10,26613,9,13067,4,25957,8
E01002481,Hillingdon 004E,15178,5,10619,4,11809,4,21462,7,22777,7,20133,7,4555,2,23845,8
E01002482,Hillingdon 001E,32164,10,31534,10,31455,10,32167,10,29041,9,25545,8,19854,7,24055,8
E01002483,Hillingdon 002D,25352,8,22589,7,21574,7,28878,9,22704,7,22612,7,13458,5,19508,6
E01002484,Hillingdon 002E,13323,5,11350,4,11039,4,21913,7,12492,4,13170,5,10976,4,12463,4
E01002485,Hillingdon 002F,18663,6,16169,5,17352,6,24744,8,19785,7,13757,5,10450,4,13890,5
E01002486,Hillingdon 028A,10820,4,8480,3,13083,4,10793,4,24398,8,12302,4,2738,1,12341,4
E01002487,Hillingdon 028B,11335,4,10441,4,13070,4,10893,4,24114,8,14537,5,2536,1,10159,4
E01002488,Hillingdon 030B,15580,5,15352,5,16053,5,14969,5,24020,8,11779,4,6039,2,12001,4
E01002489,Hillingdon 030C,17959,6,15487,5,20552,7,19689,6,26163,8,10043,4,7179,3,13250,5
E01002490,Hillingdon 030D,12914,4,12856,4,18070,6,11567,4,24511,8,8617,3,7004,3,4803,2
E01002491,Hillingdon 032D,10125,4,8335,3,12092,4,9101,3,22564,7,10191,4,3560,2,11909,4
E01002492,Hillingdon 030E,13506,5,12054,4,15871,5,10720,4,23203,8,11881,4,7846,3,8793,3
E01002493,Hillingdon 032E,7115,3,6613,3,10075,4,6410,2,16327,5,11908,4,580,1,17925,6
E01002494,Hillingdon 009C,23112,8,18706,6,22501,7,22794,7,23650,8,25203,8,11838,4,15404,5
E01002495,Hillingdon 010E,24471,8,21224,7,26240,8,20764,7,27301,9,21987,7,10860,4,15727,5
E01002496,Hillingdon 033A,17182,6,16490,6,19672,6,15907,5,20662,7,17551,6,7925,3,8580,3
E01002497,Hillingdon 033B,18915,6,14609,5,21839,7,16780,6,26256,8,12311,4,11650,4,13523,5
E01002498,Hillingdon 033C,26697,9,25706,8,27800,9,25261,8,27260,9,10444,4,21794,7,15583,5
E01002499,Hillingdon 033D,21340,7,19490,6,21000,7,22454,7,24021,8,24207,8,5594,2,16946,6
E01002501,Hillingdon 026B,13368,5,12129,4,12974,4,14274,5,23672,8,8153,3,6683,3,14198,5
E01002502,Hillingdon 026C,8401,3,7736,3,8644,3,7247,3,13581,5,7896,3,5978,2,16207,5
E01002503,Hillingdon 027C,7561,3,6603,3,9985,4,12641,4,10057,4,3608,2,6809,3,9143,3
E01002504,Hillingdon 027D,10595,4,8654,3,13950,5,11714,4,13200,5,8098,3,5474,2,14584,5
E01002505,Hillingdon 026D,5524,2,5921,2,7333,3,13093,4,10667,4,2433,1,2431,1,6938,3
E01002506,Hillingdon 027E,6678,3,6928,3,9393,3,11681,4,13167,5,2354,1,2267,1,11150,4
E01002507,Hillingdon 027F,13549,5,10595,4,20726,7,18293,6,25338,8,4541,2,4147,2,12253,4
E01002508,Hillingdon 026E,6038,2,5341,2,7334,3,9888,4,14667,5,1780,1,5330,2,10693,4
E01002509,Hillingdon 017D,26850,9,26970,9,29852,10,25063,8,28289,9,16820,6,10459,4,15244,5
E01002511,Hillingdon 017E,11647,4,11292,4,11335,4,16224,5,16010,5,7214,3,4749,2,17484,6
E01002512,Hillingdon 013C,29384,9,26341,9,29712,10,31333,10,30141,10,15864,5,16426,6,20116,7
E01002513,Hillingdon 013D,21967,7,21007,7,16832,6,26677,9,22683,7,15420,5,13085,4,18393,6
E01002514,Hillingdon 015C,21785,7,18220,6,22840,7,27377,9,28656,9,13069,4,9503,3,12605,4
E01002515,Hillingdon 015D,12892,4,12110,4,13935,5,22164,7,18011,6,10303,4,3218,1,11185,4
E01002516,Hillingdon 013E,27668,9,28032,9,26730,9,30060,10,26795,9,15955,5,11584,4,19783,7
E01002518,Hillingdon 022C,24260,8,24179,8,28955,9,19906,7,24906,8,8974,3,15872,5,16976,6
E01002519,Hillingdon 022D,8067,3,9387,3,9133,3,8827,3,10847,4,7322,3,4678,2,9092,3
E01002520,Hillingdon 016B,14591,5,9298,3,13881,5,14468,5,21909,7,27201,9,5723,2,17987,6
E01002521,Hillingdon 016C,8385,3,6378,2,9476,3,20653,7,5385,2,11329,4,3884,2,17480,6
E01002523,Hillingdon 016D,16868,6,18687,6,23198,8,20532,7,19743,7,9884,4,4538,2,7993,3
E01002525,Hillingdon 029B,15013,5,17126,6,22958,7,20000,7,19126,6,1334,1,17663,6,6333,2
E01002526,Hillingdon 028C,8626,3,10249,4,10690,4,5820,2,15605,5,6316,2,3580,2,13928,5
E01002527,Hillingdon 031D,9202,3,6852,3,10050,4,12278,4,11740,4,6201,2,9440,3,14688,5
E01002528,Hillingdon 028D,5861,2,7434,3,9087,3,4434,2,15825,5,1749,1,2746,1,12157,4
E01002529,Hillingdon 029C,13991,5,11409,4,17403,6,16771,6,19147,6,4481,2,10265,4,15060,5
E01002530,Hillingdon 029D,5774,2,5872,2,6655,3,4110,2,7545,3,6187,2,8122,3,14283,5
E01002531,Hillingdon 029E,16512,6,14438,5,15640,5,18820,6,16996,6,7602,3,15016,5,18354,6
E01002532,Hillingdon 028E,8763,3,8963,3,14073,5,10283,4,16559,6,13186,5,824,1,7287,3
E01002533,Hillingdon 005A,16920,6,13954,5,14319,5,14682,5,20447,7,18318,6,9214,3,22995,8
E01002534,Hillingdon 005B,24926,8,19595,6,24912,8,25636,8,24438,8,15844,5,17272,6,19622,6
E01002535,Hillingdon 007E,26634,9,23190,8,26887,9,29068,9,27499,9,16664,6,18067,6,12926,4
E01002536,Hillingdon 009D,25715,8,22829,7,25732,8,24381,8,20325,7,26802,9,11435,4,20902,7
E01002537,Hillingdon 009E,28136,9,25663,8,26702,9,27530,9,25097,8,19600,6,16384,5,21178,7
E01002538,Hillingdon 005C,21973,7,17579,6,18933,6,21179,7,20433,7,21613,7,14516,5,22394,7
E01002539,Hillingdon 005D,28177,9,24087,8,25767,8,25815,8,27973,9,19980,7,18601,6,22175,7
E01002540,Hillingdon 020C,9149,3,8252,3,10063,4,11605,4,13888,5,4621,2,4901,2,19037,6
E01002541,Hillingdon 023A,19169,6,18127,6,23581,8,19823,7,26504,9,8200,3,4592,2,21294,7
E01002542,Hillingdon 020D,8115,3,6062,2,9007,3,12639,4,16547,6,3098,1,6140,2,15615,5
E01002543,Hillingdon 020E,7704,3,6671,3,9423,3,12000,4,20182,7,2726,1,3351,2,11785,4
E01002544,Hillingdon 023B,19620,6,19175,6,24024,8,22215,7,22617,7,17626,6,2183,1,21374,7
E01002545,Hillingdon 023C,3488,2,2664,1,4815,2,6013,2,13673,5,6349,2,101,1,19638,6
E01002546,Hillingdon 023D,14713,5,16167,5,22239,7,18615,6,24070,8,19205,6,671,1,8098,3
E01002547,Hillingdon 023E,10730,4,7585,3,14161,5,15429,5,23362,8,14901,5,925,1,15552,5
E01002548,Hillingdon 025A,7083,3,5580,2,9194,3,4816,2,10203,4,12686,4,5443,2,14273,5
E01002549,Hillingdon 025B,13435,5,13609,5,13050,4,14282,5,19908,7,11087,4,4525,2,15277,5
E01002550,Hillingdon 022E,8239,3,11042,4,12447,4,10176,4,12516,4,12877,4,137,1,12881,4
E01002551,Hillingdon 025C,12906,4,10346,4,14005,5,11385,4,16951,6,14825,5,6483,2,16883,6
E01002552,Hillingdon 025D,8365,3,10199,4,13520,5,5862,2,18678,6,441,1,9849,3,14714,5
E01002553,Hillingdon 025E,5488,2,6672,3,7800,3,4980,2,5545,2,5463,2,3000,1,17174,6
E01002554,Hillingdon 022F,9125,3,8988,3,11716,4,18459,6,18977,6,904,1,6179,2,10798,4
E01002555,Hounslow 022A,19332,6,19182,6,24843,8,16250,5,25599,8,9467,3,8353,3,12048,4
E01002556,Hounslow 022B,17019,6,14383,5,21258,7,16830,6,19649,6,19868,7,7526,3,8405,3
E01002557,Hounslow 023A,10494,4,11062,4,14669,5,8779,3,20088,7,10900,4,2443,1,8512,3
E01002558,Hounslow 023B,11490,4,10562,4,12853,4,10952,4,17339,6,16093,5,5190,2,8751,3
E01002559,Hounslow 023C,10334,4,11211,4,13907,5,9762,3,17897,6,26108,8,569,1,10167,4
E01002560,Hounslow 023D,8721,3,9824,3,11047,4,7456,3,11940,4,3039,1,7145,3,16617,6
E01002561,Hounslow 023E,5999,2,4213,2,6956,3,4249,2,14745,5,16656,6,1896,1,19958,7
E01002562,Hounslow 003A,6744,3,7246,3,9976,4,15366,5,12056,4,2652,1,3042,1,4848,2
E01002563,Hounslow 006A,18140,6,19373,6,20798,7,28768,9,25348,8,13487,5,7294,3,3453,2
E01002564,Hounslow 003B,6163,2,4502,2,7698,3,17287,6,14468,5,2642,1,4000,2,6977,3
E01002565,Hounslow 006B,15965,5,18869,6,26734,9,28041,9,22508,7,20867,7,3354,2,790,1
E01002566,Hounslow 003C,6165,2,5370,2,9066,3,15414,5,17593,6,7921,3,3046,1,1009,1
E01002567,Hounslow 006C,13287,5,13889,5,20834,7,28711,9,24206,8,1414,1,12751,4,2587,1
E01002568,Hounslow 003D,7180,3,6014,2,11064,4,17222,6,6566,2,6260,2,2297,1,11752,4
E01002569,Hounslow 001A,25541,8,25565,8,26751,9,31807,10,25561,8,21149,7,10713,4,8817,3
E01002570,Hounslow 001B,20610,7,21527,7,25889,8,27434,9,22329,7,14770,5,8735,3,4994,2
E01002571,Hounslow 007A,30161,10,30897,10,31984,10,31400,10,30177,10,23989,8,12645,4,13576,5
E01002572,Hounslow 007B,7879,3,5815,2,7673,3,15172,5,8490,3,12416,4,3978,2,15669,5
E01002573,Hounslow 001C,22030,7,25977,8,29029,9,31675,10,30256,10,11085,4,10070,4,2510,1
E01002574,Hounslow 001D,23534,8,24301,8,28720,9,30285,10,28712,9,10702,4,11726,4,6253,2
E01002575,Hounslow 001E,27891,9,27406,9,30720,10,32412,10,28549,9,20232,7,12110,4,9913,4
E01002576,Hounslow 008A,12986,4,11131,4,11579,4,26232,8,17443,6,8384,3,11220,4,6811,3
E01002577,Hounslow 007C,21840,7,21278,7,23849,8,31978,10,28109,9,9871,4,13060,4,6185,2
E01002578,Hounslow 007D,23903,8,20979,7,25583,8,32300,10,29614,10,9650,3,17528,6,9076,3
E01002579,Hounslow 008B,24691,8,25496,8,25523,8,32622,10,27898,9,10284,4,11360,4,11964,4
E01002580,Hounslow 008C,10987,4,12281,4,14565,5,28045,9,9065,3,7256,3,5764,2,3775,2
E01002581,Hounslow 008D,22834,7,21722,7,25481,8,29903,10,25967,8,8063,3,10463,4,14562,5
E01002582,Hounslow 008E,22012,7,19095,6,20935,7,30762,10,21288,7,12133,4,15671,5,13162,5
E01002583,Hounslow 013A,11602,4,13560,5,19515,6,23162,8,20740,7,5076,2,711,1,7794,3
E01002584,Hounslow 013B,15419,5,18263,6,20716,7,21560,7,18749,6,13930,5,1505,1,9527,3
E01002585,Hounslow 013C,8782,3,9432,3,12457,4,13057,4,20645,7,13255,5,205,1,9056,3
E01002586,Hounslow 013D,17327,6,19215,6,23579,8,16622,6,24128,8,15953,5,3772,2,6812,3
E01002587,Hounslow 016A,11297,4,11050,4,14061,5,20273,7,17886,6,9774,3,1984,1,8294,3
E01002588,Hounslow 016B,4946,2,3095,1,4946,2,4647,2,13852,5,17767,6,1822,1,18367,6
E01002589,Hounslow 013E,11917,4,8537,3,13195,5,16093,5,16596,6,21199,7,2599,1,16029,5
E01002590,Hounslow 022C,15491,5,18181,6,21107,7,10804,4,18459,6,11017,4,6580,3,8965,3
E01002591,Hounslow 024A,12963,4,12715,4,14709,5,8857,3,14716,5,20696,7,5970,2,12940,4
E01002592,Hounslow 022D,11100,4,9936,4,13327,5,9409,3,20252,7,24209,8,1541,1,13326,5
E01002593,Hounslow 024B,11534,4,14416,5,16864,6,14870,5,8069,3,6178,2,6470,2,8893,3
E01002594,Hounslow 024C,12881,4,10309,4,13086,4,18036,6,15594,5,12958,4,7239,3,11792,4
E01002595,Hounslow 022E,9557,3,8285,3,11347,4,9143,3,16601,6,11373,4,4527,2,9888,4
E01002596,Hounslow 027A,11229,4,10593,4,17683,6,16089,5,12053,4,16982,6,1699,1,8233,3
E01002598,Hounslow 025B,10352,4,12064,4,15889,5,8066,3,20685,7,5047,2,4320,2,6711,3
E01002599,Hounslow 025C,9854,4,9176,3,12274,4,8098,3,21344,7,7274,3,2808,1,16045,5
E01002600,Hounslow 025D,9513,3,8859,3,12029,4,6212,2,18634,6,9688,3,7433,3,7437,3
E01002601,Hounslow 027B,17139,6,15425,5,23586,8,16278,5,19951,7,13526,5,3530,2,18144,6
E01002602,Hounslow 027C,18387,6,19408,6,22103,7,15498,5,22643,7,22671,7,3761,2,11322,4
E01002603,Hounslow 025E,9819,3,9288,3,14648,5,7366,3,10356,4,11773,4,2841,1,20002,7
E01002604,Hounslow 026A,5805,2,3877,2,6225,2,7277,3,16291,5,8149,3,2107,1,17975,6
E01002605,Hounslow 026B,7338,3,7077,3,10668,4,10146,4,14873,5,6693,3,2877,1,5149,2
E01002606,Hounslow 026C,4811,2,3754,2,8462,3,5603,2,7109,3,14992,5,842,1,12049,4
E01002607,Hounslow 026D,13493,5,10229,4,15067,5,12126,4,21685,7,13741,5,9396,3,9837,3
E01002608,Hounslow 028A,7837,3,8421,3,7736,3,8392,3,15102,5,2762,1,6710,3,16167,5
E01002609,Hounslow 028B,17978,6,17965,6,22754,7,18970,6,21622,7,10569,4,8703,3,7966,3
E01002610,Hounslow 028C,9741,3,8162,3,11035,4,8368,3,15017,5,7424,3,6689,3,17672,6
E01002611,Hounslow 024D,13547,5,16849,6,17876,6,11875,4,17939,6,6360,2,6388,2,8528,3
E01002612,Hounslow 024E,9664,3,8059,3,14001,5,13042,4,17788,6,3365,2,6728,3,8261,3
E01002613,Hounslow 024F,15529,5,13640,5,16633,6,15042,5,17205,6,18912,6,8962,3,9738,3
E01002614,Hounslow 027D,19316,6,18507,6,25001,8,20901,7,25375,8,23871,8,1830,1,14473,5
E01002615,Hounslow 026E,5539,2,5324,2,7011,3,8312,3,11063,4,10233,4,461,1,15822,5
E01002616,Hounslow 027E,16858,6,16016,5,19278,6,11425,4,16383,5,17469,6,12197,4,12189,4
E01002617,Hounslow 028D,20968,7,23305,8,25935,8,19867,7,26206,8,21070,7,2543,1,13901,5
E01002618,Hounslow 011A,17916,6,16159,5,18659,6,23883,8,24929,8,11560,4,8449,3,8891,3
E01002619,Hounslow 010A,15394,5,12921,4,21012,7,20294,7,23714,8,9060,3,3919,2,10803,4
E01002620,Hounslow 004A,10260,4,8854,3,12843,4,17689,6,20402,7,5975,2,3031,1,8460,3
E01002621,Hounslow 011B,14294,5,13258,5,15756,5,19948,7,19520,6,14739,5,4291,2,8685,3
E01002622,Hounslow 010B,12136,4,13317,5,18148,6,23652,8,17402,6,3875,2,1913,1,10902,4
E01002623,Hounslow 011C,8903,3,8997,3,10239,4,20379,7,9754,3,8734,3,1800,1,11702,4
E01002624,Hounslow 017A,13021,4,17044,6,19275,6,23189,8,21365,7,8572,3,1375,1,4203,2
E01002625,Hounslow 004B,17517,6,16048,5,17312,6,20871,7,26435,9,16068,5,6522,2,9215,3
E01002626,Hounslow 004C,15569,5,16582,6,18374,6,21396,7,21137,7,3954,2,7832,3,11408,4
E01002627,Hounslow 004D,8506,3,5952,2,7825,3,14234,5,11555,4,23724,8,2094,1,17749,6
E01002628,Hounslow 011D,16819,6,13624,5,21695,7,24223,8,23355,8,9804,3,5878,2,9592,3
E01002629,Hounslow 011E,11979,4,10606,4,15992,5,23549,8,16543,6,9967,4,2709,1,7385,3
E01002630,Hounslow 012A,16936,6,18086,6,23087,8,26084,8,28491,9,9577,3,2467,1,6692,3
E01002631,Hounslow 004E,11568,4,8206,3,13978,5,20575,7,20549,7,11611,4,2949,1,10049,4
E01002632,Hounslow 010C,14926,5,15969,5,18021,6,23327,8,23821,8,3790,2,6698,3,8024,3
E01002633,Hounslow 005A,4802,2,3598,2,5775,2,8875,3,8977,3,15771,5,756,1,12110,4
E01002634,Hounslow 005B,6742,3,5499,2,6546,2,9703,3,17761,6,7905,3,1763,1,16295,5
E01002635,Hounslow 010D,14005,5,14133,5,19369,6,21653,7,25806,8,3007,1,5335,2,8428,3
E01002636,Hounslow 010E,17423,6,15675,5,20976,7,20905,7,24201,8,14486,5,4036,2,11537,4
E01002637,Hounslow 005C,7357,3,6993,3,11135,4,12991,4,18531,6,9361,3,543,1,6319,2
E01002638,Hounslow 005D,7635,3,5555,2,10716,4,12590,4,18807,6,3155,1,2338,1,15358,5
E01002639,Hounslow 012B,19136,6,21109,7,22366,7,28064,9,22198,7,8585,3,4800,2,11747,4
E01002640,Hounslow 012C,15615,5,21439,7,29420,9,26248,8,21609,7,1502,1,2474,1,9610,3
E01002641,Hounslow 018A,10104,4,11917,4,18153,6,21881,7,20992,7,1323,1,2137,1,5763,2
E01002642,Hounslow 015A,13415,5,15624,5,21220,7,26304,9,25173,8,6963,3,1737,1,3386,2
E01002643,Hounslow 015B,12090,4,11519,4,14999,5,22550,7,15158,5,10854,4,4149,2,5719,2
E01002645,Hounslow 015C,10526,4,11959,4,19639,6,19871,7,18250,6,2247,1,3200,1,4267,2
E01002646,Hounslow 017B,8074,3,6025,2,9932,4,18185,6,12251,4,13622,5,1797,1,8018,3
E01002647,Hounslow 021A,11448,4,11966,4,14403,5,20948,7,14353,5,9980,4,1417,1,12514,4
E01002648,Hounslow 018C,14256,5,15908,5,21704,7,22447,7,18627,6,4707,2,2559,1,11145,4
E01002649,Hounslow 018D,9818,3,10006,4,13248,5,26158,8,13498,5,6774,3,2213,1,4872,2
E01002650,Hounslow 021B,11539,4,10398,4,16040,5,23066,8,23289,8,11627,4,467,1,11099,4
E01002651,Hounslow 021C,15066,5,11792,4,19227,6,26109,8,18619,6,10082,4,4217,2,11428,4
E01002652,Hounslow 021D,15782,5,13048,4,18664,6,23005,8,24826,8,8161,3,5945,2,10032,4
E01002653,Hounslow 019A,19227,6,18985,6,18865,6,23536,8,22065,7,19608,6,7373,3,9112,3
E01002654,Hounslow 019B,19284,6,21065,7,19307,6,26129,8,25195,8,14606,5,5658,2,8365,3
E01002655,Hounslow 019C,21413,7,23622,8,21943,7,25938,8,25944,8,12820,4,10520,4,7215,3
E01002656,Hounslow 019D,18955,6,20592,7,19735,7,23340,8,18809,6,22780,7,4295,2,10935,4
E01002657,Hounslow 018E,26151,8,25408,8,30021,10,27615,9,26661,9,17378,6,10789,4,11926,4
E01002658,Hounslow 015D,24569,8,27868,9,30583,10,29033,9,22019,7,12728,4,5905,2,15075,5
E01002659,Hounslow 019E,19183,6,18613,6,22051,7,21091,7,24394,8,22686,7,3235,1,12235,4
E01002660,Hounslow 016C,15408,5,12819,4,19998,7,22067,7,24856,8,9546,3,4151,2,9322,3
E01002661,Hounslow 016D,17440,6,17043,6,21853,7,20983,7,23980,8,11457,4,4390,2,10137,4
E01002662,Hounslow 017C,16786,6,24070,8,28784,9,26421,9,23833,8,7071,3,2197,1,3248,1
E01002663,Hounslow 017D,12810,4,10864,4,18855,6,20588,7,14386,5,11553,4,2116,1,13140,5
E01002664,Hounslow 017E,8869,3,8483,3,10213,4,26663,9,18618,6,3713,2,2614,1,5580,2
E01002665,Hounslow 016E,11944,4,9328,3,14160,5,19017,6,14232,5,15291,5,3885,2,10551,4
E01002666,Hounslow 021E,16317,5,13955,5,17009,6,21229,7,20686,7,17334,6,5592,2,10577,4
E01002667,Hounslow 020A,13586,5,11004,4,13123,4,23851,8,16842,6,7833,3,8373,3,13027,4
E01002668,Hounslow 014A,18494,6,17686,6,18329,6,19968,7,20681,7,13600,5,7769,3,15566,5
E01002669,Hounslow 014B,4666,2,4267,2,6930,3,10715,4,9307,3,14591,5,318,1,5403,2
E01002670,Hounslow 020B,18118,6,19083,6,22001,7,25255,8,24345,8,10974,4,4441,2,8158,3
E01002671,Hounslow 020C,16369,5,16787,6,16016,5,23188,8,21573,7,12137,4,10640,4,4954,2
E01002672,Hounslow 020D,9767,3,7204,3,12219,4,19604,6,13758,5,12409,4,1901,1,11919,4
E01002673,Hounslow 020E,2294,1,1421,1,2734,1,6787,3,4688,2,8717,3,532,1,18753,6
E01002674,Hounslow 012D,19371,6,18586,6,25658,8,30996,10,28673,9,14672,5,2463,1,8107,3
E01002675,Hounslow 009A,20123,7,18569,6,26232,8,31201,10,27005,9,10972,4,2761,1,14475,5
E01002676,Hounslow 012E,18291,6,23727,8,25548,8,31743,10,28802,9,4005,2,2268,1,9814,3
E01002677,Hounslow 015E,14763,5,14879,5,16355,5,27204,9,19083,6,6382,2,7200,3,6975,3
E01002678,Hounslow 009B,22847,7,24323,8,29774,10,31524,10,30655,10,22661,7,1612,1,10973,4
E01002679,Hounslow 009C,20674,7,22842,7,27993,9,28987,9,24332,8,22367,7,1838,1,8397,3
E01002680,Hounslow 009D,17764,6,20467,7,23509,8,30262,10,24080,8,6233,2,4997,2,5888,2
E01002681,Hounslow 014C,9916,4,9810,3,9565,3,19818,7,18200,6,3026,1,4763,2,12929,4
E01002682,Hounslow 014D,15987,5,16658,6,21055,7,22418,7,20565,7,7429,3,5693,2,7176,3
E01002683,Hounslow 014E,22060,7,22596,7,27720,9,29095,9,26009,8,15311,5,9709,3,4493,2
E01002684,Hounslow 006D,11286,4,9820,3,15005,5,20183,7,16199,5,11800,4,8289,3,2185,1
E01002686,Hounslow 006E,4940,2,6076,2,6841,3,9313,3,8161,3,4182,2,640,1,13319,5
E01002687,Hounslow 029A,22842,7,20399,7,27980,9,32017,10,28615,9,9643,3,9613,3,9654,3
E01002689,Hounslow 007E,15036,5,12168,4,11906,4,20899,7,20725,7,16456,6,13088,4,8010,3
